# latitude,longitude,height above datum (meters),error (meters)
# Geodetic Datum --> Name: D_MARS  Spheroid: MARS  Semi-major axis: 3396190  Semi-minor axis: 3396190  Meridian: Reference Meridian at 0
# Projection: +proj=longlat +a=3396190 +b=3396190 +no_defs
18.19355,77.20954999999999,-2035.770000000074,56.38927585424413
18.18844,77.20886,-2032.479999999895,48.04737510867507
18.18334,77.20817,-2023.169999999438,40.18916858177266
18.17823,77.20748,-2021.060000000152,58.25524736389775
18.17313,77.20679,-2004.480000000493,34.1615067066715
18.16802,77.20609,-2015.549999999904,48.78887878823726
18.16292,77.2054,-2018.339999999986,45.70525379644474
18.15781,77.20470999999999,-2014.589999999446,36.44117049884495
18.1527,77.20402,-2006.729999999987,60.60113326800173
18.1476,77.20333000000001,-2002.699999999785,37.13838619326977
18.14249,77.20264,-2012.229999999924,45.02908465209475
18.13739,77.20195,-2017.350000000103,49.28724980988977
18.13228,77.20125999999999,-2023.629999999421,37.14229164324721
18.12718,77.20056000000001,-2032.779999999803,58.87450253602345
18.12207,77.19986999999999,-2028.689999999996,44.25372633775847
18.11696,77.19918,-2035.209999999241,46.53864625981669
18.11186,77.19849000000001,-2042.909999999756,56.75108969729487
18.10675,77.1978,-2055.199999999796,41.30454600553131
18.10165,77.19711,-2053.630000000344,60.11443854888947
18.09654,77.19641,-2063.02999999983,47.43070718905385
18.09144,77.19571999999999,-2072.859999999876,47.58859623941856
18.08631,77.19504999999999,-2076.350000000244,61.38956342912815
18.0812,77.19437000000001,-2079.89999999984,45.97074010138227
18.07607999999999,77.19369,-2080.629999999929,53.89864715108433
18.07097,77.19301,-2089.50999999945,49.74967258965399
18.06586,77.19233,-2096.400000000026,43.37288595245171
18.06074,77.19164000000001,-2103.299999999782,63.24127496733361
18.05562999999999,77.19096,-2091.200000000375,42.19408333560289
18.05052,77.19028,-2097.939999999676,46.90798307454458
18.0454,77.18960000000001,-2095.740000000607,54.06992175799176
18.04029,77.18892,-2089.450000000223,42.75861993048525
18.03517,77.18824000000001,-2098.259999999452,57.63377523023683
18.03006,77.18755999999999,-2106.690000000055,44.10163703729636
18.02495,77.18687,-2098.179999999225,43.68212155191941
18.01983,77.18618999999998,-2087.110000000191,59.42435090182938
18.01472,77.18550999999998,-2081.120000000469,39.12762609766634
18.00961,77.18483000000001,-2062.529999999356,50.8038708058265
18.00449,77.18415,-2042.120000000439,47.79529796386599
17.99938,77.18347,-2032.930000000699,39.84227692192558
17.99427,77.18279,-2022.709999999831,61.82918479706115
17.98915,77.18210999999999,-2017.959999999475,40.48095821183065
17.98404,77.18143000000001,-2010.82000000017,45.80745334720191
17.97892,77.18074999999999,-2008.310000000505,53.82772716544788
17.97381,77.18007000000001,-2005.65000000032,38.95224693018193
17.96869,77.17938000000001,-2002.570000000643,55.77801470941777
17.96358,77.17870000000001,-2000.970000000257,43.54718736443532
17.95847,77.17801999999999,-1995.609999999774,42.88768288658631
17.95335,77.17734,-1993.490000000554,58.92964511085507
17.94824,77.17666,-1988.14999999994,39.80851988896408
17.94313,77.17596999999999,-1996.88999999963,50.66795074638129
17.93801000000001,77.17529000000002,-2004.150000000029,47.55953713211686
17.9329,77.17461,-2003.120000000033,40.1308427254698
17.92779,77.17393,-2007.639999999643,62.25823949482183
17.92267,77.17325,-2016.679999999996,41.84001985217286
17.91756,77.17256,-2018.669999999318,46.14686944588659
17.91244,77.17188,-2003.240000000373,56.19078276842188
17.90733,77.17119999999998,-1991.330000000467,42.85804053268854
17.90222,77.17052,-2015.149999999902,55.70487626158415
17.8971,77.16984000000002,-2028.230000000013,47.76422339725608
17.89199,77.16915,-2057.6400000003,42.83314515006585
17.88688,77.16847,-2083.500000000614,63.3045958251557
17.88178,77.16776,-2148.710000000158,38.43086527151758
17.87668,77.16707000000001,-2179.010000000234,52.73439689016925
17.87157000000001,77.16637,-2184.139999999592,51.07141253185991
17.86646,77.16568000000001,-2239.129999999777,41.60743809213938
17.86136,77.16499,-2303.530000000138,65.64823832223109
17.85625,77.16429000000001,-2370.230000000039,48.46617041504809
