Iteration, Max iteration, Mean abs differential rot err, Min differential rotation err, Mean abs differential trans err, Min differential translation err
180, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
181, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
182, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
183, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
184, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
185, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
186, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
187, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
188, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
189, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
190, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
191, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
192, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
193, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
194, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
195, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
196, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
197, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
198, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
199, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
200, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
201, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
202, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
203, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
204, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
205, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
206, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
207, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
208, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
209, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
210, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
211, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
212, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
213, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
214, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
215, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
216, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
217, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
218, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
219, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
220, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
221, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
222, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
223, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
224, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
225, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
226, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
227, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
228, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
229, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
230, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
231, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
232, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
