# latitude,longitude,height above datum (meters),error (meters)
# Geodetic Datum --> Name: D_MARS  Spheroid: MARS  Semi-major axis: 3396190  Semi-minor axis: 3396190  Meridian: Reference Meridian at 0
# Projection: +proj=longlat +a=3396190 +b=3396190 +no_defs
17.98336635752058,77.18335734571063,-2013.163141595361,16.13151248908395
17.97824699040689,77.18267210040466,-2010.628769754569,45.40293854233311
17.97313762336847,77.18198686708845,-2007.944396779083,7.847678889535199
17.96801826572474,77.1812916282213,-2004.839665723438,33.05463604896696
17.96290889883725,77.1806063830071,-2003.215289671754,28.86389811647152
17.9577995320127,77.17992118000188,-1997.830912945426,11.52362620155019
17.95268016526936,77.17923593032123,-1995.686533878862,49.05254007425727
17.94757079859252,77.17855072708988,-1990.322154298112,14.054990317979
17.94246144135446,77.17785536585548,-1999.037413956155,26.64198426427101
17.93734207485745,77.17717001089706,-2006.273028725151,34.79965782961108
17.93223270841305,77.17648475929579,-2005.218644003149,5.532530292957349
17.92712334205651,77.17579944540505,-2009.714256747714,42.74856762755832
