# latitude,longitude,height above datum (meters),error (meters)
# Geodetic Datum --> Name: D_MARS  Spheroid: MARS  Semi-major axis: 3396190  Semi-minor axis: 3396190  Meridian: Reference Meridian at 0
# Projection: +proj=longlat +a=3396190 +b=3396190 +no_defs
17.11031933348217,77.97590215323447,-3393.837315651947,30326.6138185579
17.11543002570502,77.97521764203955,-3373.741966967199,30140.50433985963
17.1205407272561,77.97452313274123,-3353.476261318228,29955.86377742816
17.12566141837133,77.97383888399746,-3310.83091811028,29773.01282537782
17.13077211145336,77.97315411161308,-3314.095568071363,29593.34392529883
17.13588281186996,77.97245982227102,-3274.15986971306,29414.4680750622
17.14099350550778,77.97177487924455,-3292.684518840923,29239.23540810556
17.14610420738731,77.97108019987536,-3287.628815740847,29065.22621735057
17.15122489974256,77.97039556145369,-3279.833471109768,28893.5876248082
17.15633559165538,77.96971098116693,-3265.918130062956,28724.33209867777
17.16144629370592,77.96901620550388,-3269.472428602478,28557.13782241143
17.16655698601192,77.96833149358586,-3267.327087426411,28392.65238967972
