# latitude,longitude,height above datum (meters)
# Geodetic Datum --> Name: D_MARS  Spheroid: MARS  Semi-major axis: 3396190  Semi-minor axis: 3396190  Meridian: Reference Meridian at 0
# Projection: +proj=longlat +a=3396190 +b=3396190 +no_defs
18.24363966387345,77.06209852478169,-2017.405725910528
18.28981819239388,77.18952437861141,-2109.61566757242
18.29322577332211,77.24578988594483,-2117.875618129321
18.29172082998057,77.35009870362639,-2062.788237975079
18.29126460055025,77.36534527428114,-2021.668906912802
18.31115705937586,76.97591545271256,-1969.440445387999
18.29081149548995,77.07617517365075,-2023.42527735669
18.31062249549404,77.10678864808746,-2047.005740009075
18.33335967000524,77.18230016092369,-2245.824524327621
18.3396399146026,77.22016364303398,-2088.813838296335
18.34749022029186,77.29794807780432,-2023.389779548393
17.37008778261412,77.51214675058668,-2608.013367139671
17.43815932108933,77.13866705427313,-2612.57114402684
17.43179153934867,77.4940251893495,-3014.664288599729
17.46669373861403,77.13384701326805,-2528.559094676795
17.51074003030231,77.24320728435417,-2442.24809829777
